"Timestamp","Which age group do you belong to?","What is your profession?","Who is your favourate political leader in India?","Do you think Narendra Modi has the ability to transform India?","How much time do you give to your mobile phone in one day?","What would you like to do in your free time?","What would you do to enhance your knowledge?","Which type of music do you love to listen?","Which type of marriage is best?","Which social networking plateform do you love to use the most?","Which online shopping site do you like to prefer?","How much time you give to your parents in a day?","What would you like to do to remain fit and healthy?","Which shampoo brand would you like to use?","Which toothpaste brand would you like to use?"
"2018/12/11 10:45:55 am GMT+5:30","11-20 year","Student","Noone","Yes","1-3 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Remain Single forever","Instagram","Myntra","4-5 hours","Jym","TRESemme","Dant Kanti"
"2018/12/11 11:01:03 am GMT+5:30","21-30 year","Student","Sushma Swaraj","Yes","3-5 hours","Read Books","Read Books","Classic","Remain Single forever","Instagram","Amazon","less than 1 hour","Yoga","Kesh Kanti","Dant Kanti"
"2018/12/11 2:05:30 pm GMT+5:30","11-20 year","Student","Bhumika😂","No","less than 1hour","Dance","Read Books","Romantic","Love Marriage","Instagram","Amazon","1-2 hours","Normal Excercises","TRESemme","Close-Up"
"2018/12/11 2:58:04 pm GMT+5:30","41-50 year","Housewife","Narendra Modi","Yes","1-3 hours","Play Outdoor Games","Read Newspapers","Romantic","Arrange Marriage","Watsapp","Flipkart","1-2 hours","Normal Excercises","Sunsilk","Sensodyne"
"2018/12/11 8:10:06 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","less than 1hour","Read News","Read Books","Classic","Arrange Marriage","Facebook","Flipkart","4-5 hours","Normal Excercises","Dove","Dant Kanti"
"2018/12/12 10:25:46 am GMT+5:30","41-50 year","Housewife","Narendra Modi","Yes","1-3 hours","Watch serials","Read Newspapers","Classic","Arrange Marriage","Watsapp","Misso","less than 1 hour","Normal Excercises","Clinic plus","Dant Kanti"
"2018/12/12 10:27:00 am GMT+5:30","41-50 year","Business","Narendra Modi","Yes","5-7 hours","Watch Movies","Watch documentaries / Educational videos","Classic","Arrange Marriage","Facebook","Flipkart","less than 1 hour","Nothing","Dove","Dant Kanti"
"2018/12/12 5:16:16 pm GMT+5:30","11-20 year","Student","Akhilesh yadav","Yes","3-5 hours","Read something new","Watch documentaries / Educational videos","Classic","Arrange Marriage","Facebook","Amazon","3-4 hours","Normal Excercises","Sunsilk","Colgate"
"2018/12/12 11:32:26 pm GMT+5:30","11-20 year","Student","None","Yes","1-3 hours","Read Books","Read Articles","Romantic","Remain Single forever","Instagram","Amazon","less than 1 hour","Normal Excercises","Head & Shoulders","Colgate"
"2018/12/12 11:47:55 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Play Outdoor Games","Read Books","Romantic","Arrange Marriage","Watsapp","Amazon","1-2 hours","Dieting","Kesh Kanti","Colgate"
"2018/12/13 12:00:31 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Love Marriage","Watsapp","Flipkart","2-3 hours","Yoga","Head & Shoulders","Dant Kanti"
"2018/12/13 12:24:36 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Watch football videos","Watch documentaries / Educational videos","Rock","Love Marriage","Instagram","Amazon","less than 1 hour","Dieting","Loreal","Colgate"
"2018/12/13 12:44:05 am GMT+5:30","21-30 year","Student","Narendra Modi","Yes","greater than 7 hours","Watch Movies","Do Courses","Romantic","Arrange Marriage","Watsapp","Amazon","less than 1 hour","Jym","TRESemme","Pepsodent"
"2018/12/13 12:45:19 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Read Articles","Romantic","Love Marriage","Instagram","Flipkart","less than 1 hour","Jym","Dove","Close-Up"
"2018/12/15 11:37:45 pm GMT+5:30","31-40 year","Housewife","Narendra Modi","Yes","5-7 hours","Read something new","Read Newspapers","Romantic","Arrange Marriage","Watsapp","Amazon","3-4 hours","Normal Excercises","Dove","Close-Up"
"2018/12/15 11:41:56 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Love Marriage","Instagram","Myntra","2-3 hours","Normal Excercises","Dove","Close-Up"
"2018/12/17 7:09:17 pm GMT+5:30","21-30 year","Service","Arvind Kejriwal","Yes","3-5 hours","Hangout with friends","Read Newspapers","Rock","Love Marriage","Watsapp","Depends on discounts","3-4 hours","Normal Excercises","Patanjali","Dant Kanti"
"2018/12/18 9:29:20 am GMT+5:30","21-30 year","Service","Narendra Modi","Yes","1-3 hours","Watch Movies","Read Newspapers","Rock","Remain Single forever","Twitter","Amazon","less than 1 hour","Yoga","Head & Shoulders","Dant Kanti"
"2018/12/18 2:02:51 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","less than 1hour","Play Computer Games","Watch documentaries / Educational videos","Only my favourite hero 's song ","Arrange Marriage","I donot use any social networking sites ","Amazon","2-3 hours","Normal Excercises","Clinic plus ","Colgate"
"2018/12/21 5:50:37 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Read Newspapers","Romantic","Arrange Marriage","Instagram","Flipkart","1-2 hours","Normal Excercises","Dove","Dant Kanti"
"2018/12/21 7:33:13 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Read Books","Romantic","Love Marriage","Watsapp","Snapdeal","less than 1 hour","Jym","TRESemme","Colgate"
"2018/12/22 9:05:15 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Love Marriage","Instagram","Amazon","3-4 hours","Normal Excercises","Dove","Colgate"
